elevation_deg,v_rel_kmps,n_nodes,modulation,PER_pct,distance_km,kappa,doppler_hz,doppler_rate_hz,visibility_window_s,RSSI_dBm,SNR_dB,toa_s,max_packets_in_window
5,4.0,10000,SF9,76.05633802816901,2055.0980757075185,1.24,19470.93693337548,17.364228268464405,333.25497894329214,-133.08217779930803,-16.051277929388604,0.144384,2308
5,4.0,50000,DR8,0.5390835579514808,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-133.01577975520647,8.100022024766412,1.324766,252
5,4.0,50000,DR9,1.871657754010692,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-132.94632104348693,8.169480736485967,0.779094,428
5,4.0,50000,SF10,77.3067331670823,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-133.32047546900105,-16.289575599081605,0.288768,1154
5,4.0,50000,SF11,89.22305764411027,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-133.1142512724947,-16.083351402575264,0.577536,577
5,4.0,50000,SF12,94.45910290237468,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-132.34538736076587,-15.314487490846432,0.991232,336
5,4.0,50000,SF7,98.67021276595744,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-132.3840261663939,-15.353126296474471,0.041216,8086
5,4.0,50000,SF8,93.19899244332494,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-133.83751479133488,-16.80661492141545,0.072192,4616
5,4.0,50000,SF9,80.19801980198021,2056.242110526087,1.24,19475.69565760659,17.34136678827899,333.25497894329214,-132.3973430160641,-15.36644314614466,0.144384,2308
5,4.0,100000,DR8,2.1621621621621623,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-133.0034105157396,8.11239126423328,1.324766,252
5,4.0,100000,DR9,7.058823529411762,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-132.93612201773382,8.179679762239077,0.779094,428
5,4.0,100000,SF10,92.5974025974026,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-133.67463279148504,-16.643732921565615,0.288768,1154
5,4.0,100000,SF11,98.31168831168831,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-132.82331435366407,-15.792414483744642,0.577536,577
5,4.0,100000,SF12,99.85443959243084,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-133.07479921027172,-16.043899340352286,0.991232,336
5,4.0,100000,SF7,98.76712328767124,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-133.06407317660512,-16.03317330668569,0.041216,8086
5,4.0,100000,SF8,93.47553324968632,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-133.34834385870005,-16.317443988780603,0.072192,4616
5,4.0,100000,SF9,85.47486033519553,2055.900751867256,1.24,19474.21869757438,17.362041529427227,333.25497894329214,-132.82774339775514,-15.796843527835714,0.144384,2308
5,5.0,10000,DR8,0.0,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-131.704816548317,9.41098523165586,1.324766,319
5,5.0,10000,DR9,0.0,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-128.74881370091015,12.36698807906274,0.779094,542
5,5.0,10000,SF10,60.37735849056604,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-135.0526248119974,-18.021724942077977,0.288768,1461
5,5.0,10000,SF11,40.50632911392405,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-132.2663961172132,-15.235496247293732,0.577536,731
5,5.0,10000,SF12,56.47058823529412,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-133.72103383968198,-16.69013396976255,0.991232,426
5,5.0,10000,SF7,98.73417721518987,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-131.83390546045416,-14.803005590534736,0.041216,10239
5,5.0,10000,SF8,91.01123595505618,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-131.6521461919894,-14.621246322069975,0.072192,5846
5,5.0,10000,SF9,71.875,2043.2256044048809,1.24,20009.610048328384,8.571036656697592,422.0126076813598,-131.13508523862217,-14.10418536870274,0.144384,2923
5,5.0,50000,DR8,1.5452538631346546,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-133.57426070777154,7.541541072201351,1.324766,319
5,5.0,50000,DR9,2.2026431718061623,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-135.2761728421709,5.83962893780201,0.779094,542
